pais_par,num_relac_paises,pais1,pais2
"('Afeganistão', 'Alemanha')",1,Afeganistão,Alemanha
"('Afeganistão', 'Austrália')",1,Afeganistão,Austrália
"('Afeganistão', 'Estados Unidos')",4,Afeganistão,Estados Unidos
"('Afeganistão', 'Irã')",1,Afeganistão,Irã
"('Afeganistão', 'Sudão')",1,Afeganistão,Sudão
"('Afeganistão', 'Suíça')",1,Afeganistão,Suíça
"('Afeganistão', 'Venezuela')",1,Afeganistão,Venezuela
"('Albânia', 'Bulgária')",1,Albânia,Bulgária
"('Albânia', 'Grécia')",2,Albânia,Grécia
"('Albânia', 'Irã')",1,Albânia,Irã
"('Albânia', 'Itália')",2,Albânia,Itália
"('Albânia', 'Polônia')",1,Albânia,Polônia
"('Albânia', 'Suíça')",1,Albânia,Suíça
"('Alemanha', 'Brasil')",5,Alemanha,Brasil
"('Alemanha', 'Chile')",2,Alemanha,Chile
"('Alemanha', 'China')",2,Alemanha,China
"('Alemanha', 'Dinamarca')",1,Alemanha,Dinamarca
"('Alemanha', 'Espanha')",1,Alemanha,Espanha
"('Alemanha', 'Estados Unidos')",6,Alemanha,Estados Unidos
"('Alemanha', 'Finlândia')",1,Alemanha,Finlândia
"('Alemanha', 'França')",6,Alemanha,França
"('Alemanha', 'Israel')",3,Alemanha,Israel
"('Alemanha', 'Itália')",3,Alemanha,Itália
"('Alemanha', 'Japão')",3,Alemanha,Japão
"('Alemanha', 'Noruega')",2,Alemanha,Noruega
"('Alemanha', 'Polônia')",1,Alemanha,Polônia
"('Alemanha', 'Rússia')",6,Alemanha,Rússia
"('Alemanha', 'Suécia')",2,Alemanha,Suécia
"('Alemanha', 'Suíça')",1,Alemanha,Suíça
"('Alemanha', 'Síria')",1,Alemanha,Síria
"('Alemanha', 'Tanzânia')",1,Alemanha,Tanzânia
"('Alemanha', 'Ucrânia')",2,Alemanha,Ucrânia
"('Alemanha', 'Áustria')",2,Alemanha,Áustria
"('Alemanha', 'Índia')",3,Alemanha,Índia
"('Angola', 'Brasil')",1,Angola,Brasil
"('Angola', 'China')",1,Angola,China
"('Angola', 'Estados Unidos')",1,Angola,Estados Unidos
"('Angola', 'Polônia')",1,Angola,Polônia
"('Angola', 'República Democrática do Congo')",1,Angola,República Democrática do Congo
"('Angola', 'Sudão')",1,Angola,Sudão
"('Argentina', 'Bolívia')",8,Argentina,Bolívia
"('Argentina', 'Brasil')",30,Argentina,Brasil
"('Argentina', 'Canadá')",1,Argentina,Canadá
"('Argentina', 'Chile')",8,Argentina,Chile
"('Argentina', 'China')",1,Argentina,China
"('Argentina', 'Colômbia')",2,Argentina,Colômbia
"('Argentina', 'Costa Rica')",2,Argentina,Costa Rica
"('Argentina', 'Equador')",3,Argentina,Equador
"('Argentina', 'Espanha')",1,Argentina,Espanha
"('Argentina', 'Estados Unidos')",1,Argentina,Estados Unidos
"('Argentina', 'França')",1,Argentina,França
"('Argentina', 'Marrocos')",1,Argentina,Marrocos
"('Argentina', 'Maurício')",1,Argentina,Maurício
"('Argentina', 'México')",3,Argentina,México
"('Argentina', 'Nicarágua')",2,Argentina,Nicarágua
"('Argentina', 'Panamá')",1,Argentina,Panamá
"('Argentina', 'Paraguai')",6,Argentina,Paraguai
"('Argentina', 'Peru')",5,Argentina,Peru
"('Argentina', 'Rússia')",1,Argentina,Rússia
"('Argentina', 'Turquia')",1,Argentina,Turquia
"('Argentina', 'Uruguai')",2,Argentina,Uruguai
"('Argentina', 'Venezuela')",6,Argentina,Venezuela
"('Argentina', 'África do Sul')",1,Argentina,África do Sul
"('Argélia', 'Colômbia')",1,Argélia,Colômbia
"('Argélia', 'Turquia')",1,Argélia,Turquia
"('Armênia', 'Azerbaijão')",3,Armênia,Azerbaijão
"('Armênia', 'Estados Unidos')",3,Armênia,Estados Unidos
"('Armênia', 'França')",2,Armênia,França
"('Armênia', 'Irã')",2,Armênia,Irã
"('Armênia', 'Israel')",1,Armênia,Israel
"('Armênia', 'Palestina')",5,Armênia,Palestina
"('Armênia', 'Rússia')",2,Armênia,Rússia
"('Armênia', 'Síria')",1,Armênia,Síria
"('Armênia', 'Turquia')",4,Armênia,Turquia
"('Armênia', 'Ucrânia')",1,Armênia,Ucrânia
"('Armênia', 'Índia')",1,Armênia,Índia
"('Austrália', 'Brasil')",1,Austrália,Brasil
"('Austrália', 'Brunei')",1,Austrália,Brunei
"('Austrália', 'Canadá')",4,Austrália,Canadá
"('Austrália', 'Chile')",3,Austrália,Chile
"('Austrália', 'China')",3,Austrália,China
